,,,A,B,C,D,,,,,
#,Section Number,"Weight
Per/Foot","Depth of
Section","Flange
Width","Flange
Thickness","Web
Thickness",Length,Total Pounds,Current Cost per Foot,Total Price,NOTES:
,,lb.,in.,in.,in.,in.,ft.,lb.,$,$,
183,,279,26.73,13.305,2.090,1.160,,0,$1.90,$0.00,
184,,306,27.13,13.405,2.280,1.260,,0,$1.90,$0.00,
185,,335,27.52,13.520,2.480,1.380,,0,$1.90,$0.00,
186,,370,27.99,13.660,2.720,1.520,,0,$1.90,$0.00,
,,,,,,,,0,,$0.00,
187,W27,84,26.71,9.960,0.640,0.460,,0,$0.92,$0.00,
188,,94,26.92,9.990,0.745,0.490,,0,$1.90,$0.00,
189,,102,27.09,10.015,0.830,0.515,,0,$1.90,$0.00,
190,,114,27.29,10.070,0.930,0.570,,0,$1.90,$0.00,
191,,129,27.63,10.010,1.100,0.610,,0,$1.90,$0.00,
192,W27,146,27.38,13.965,0.975,0.605,,0,$1.90,$0.00,
193,,161,27.59,14.020,1.080,0.660,,0,$1.90,$0.00,
194,,178,27.81,14.085,1.190,0.725,,0,$1.90,$0.00,
195,,194,28.11,14.035,1.340,0.750,,0,$1.90,$0.00,
196,,217,28.43,14.115,1.500,0.830,,0,$1.90,$0.00,
197,,235,28.66,14.190,1.610,0.910,,0,$1.90,$0.00,
198,,258,28.98,14.270,1.770,0.980,,0,$1.90,$0.00,
199,,281,29.29,14.350,1.930,1.060,,0,$1.90,$0.00,
200,,307,29.61,14.445,2.090,1.160,,0,$1.90,$0.00,
201,,336,30.00,14.545,2.280,1.260,,0,$1.90,$0.00,
202,,368,30.39,14.665,2.480,1.380,,0,$1.90,$0.00,
203,W30,90,29.53,10.400,0.610,0.470,,0,$1.90,$0.00,
204,,99,29.65,10.450,0.670,0.520,,0,$1.90,$0.00,
205,,108,29.83,10.475,0.760,0.454,,0,$1.90,$0.00,
206,,116,30.01,10.495,0.850,0.565,,0,$1.90,$0.00,
207,,124,30.17,10.515,0.930,0.585,,0,$1.90,$0.00,
208,,132,30.31,10.545,1.000,0.615,,0,$1.90,$0.00,
209,,148,30.67,10.480,1.180,0.650,,0,$1.90,$0.00,
,,,,,,,,0,$1.90,$0.00,
210,W30,173,30.44,14.985,1.065,0.655,,0,$1.90,$0.00,
211,,191,30.68,15.040,1.185,0.710,,0,$1.90,$0.00,
212,,211,30.94,15.105,1.315,0.775,,0,$1.90,$0.00,
213,,235,31.30,15.055,1.500,0.830,,0,$1.90,$0.00,
214,,261,31.61,15.155,1.650,0.930,,0,$1.90,$0.00,
215,,292,32.01,15.255,1.850,1.020,,0,$1.90,$0.00,
216,,326,32.40,15.370,2.050,1.140,,0,$1.90,$0.00,
217,,357,32.80,15.470,2.240,1.240,,0,$1.90,$0.00,
218,,391,33.19,15.590,2.440,1.360,,0,$1.90,$0.00,
219,W33,118,32.86,11.480,0.740,0.550,,0,$1.90,$0.00,
220,,130,33.09,11.510,0.855,0.580,,0,$1.90,$0.00,
221,,141,33.30,11.535,0.960,0.605,,0,$1.90,$0.00,
222,,152,33.49,11.565,1.055,0.635,,0,$1.90,$0.00,
223,,169,33.82,11.500,1.220,0.670,,0,$1.90,$0.00,
224,W33,201,33.68,15.745,1.150,0.715,,0,$1.90,$0.00,
225,,221,33.93,15.805,1.275,0.775,,0,$1.90,$0.00,
226,,241,34.18,15.860,1.400,0.830,,0,$1.90,$0.00,
227,,263,34.53,15.805,1.570,0.870,,0,$1.90,$0.00,
228,,291,34.84,15.905,1.730,0.960,,0,$1.90,$0.00,
229,,318,35.16,15.985,1.890,1.040,,0,$1.90,$0.00,
230,,354,35.55,16.100,2.090,1.160,,0,$1.90,$0.00,
231,,387,35.95,16.200,2.280,1.260,,0,$1.90,$0.00,
232,,,,,,,,0,$1.90,$0.00,
233,W36,135,35.55,11.900,0.790,0.600,,0,$1.90,$0.00,
234,,150,35.85,11.975,0.940,0.625,,0,$1.90,$0.00,
235,,160,36.01,12.000,1.020,0.650,,0,$1.90,$0.00,
236,,170,36.17,12.030,1.100,0.680,,0,$1.90,$0.00,
237,,182,36.33,12.075,1.180,0.725,,0,$1.90,$0.00,
238,,194,36.49,12.115,1.260,0.765,,0,$1.90,$0.00,
239,,210,36.69,12.180,1.360,0.830,,0,$1.90,$0.00,
240,,232,37.12,12.120,1.570,0.960,,0,$1.90,$0.00,
241,,256,37.43,12.215,1.730,0.870,,0,$1.90,$0.00,
242,W36,231,36.49,16.470,1.260,0.760,,0,$1.90,$0.00,
243,,247,36.67,16.510,1.350,0.800,,0,$1.90,$0.00,
244,,262,36.85,16.550,1.440,0.840,,0,$1.90,$0.00,
245,,282,37.11,16.595,1.570,0.885,,0,$1.90,$0.00,
246,,302,37.33,16.655,1.680,0.945,,0,$1.90,$0.00,
247,,330,37.67,16.630,1.850,1.020,,0,$1.90,$0.00,
248,,361,37.99,16.730,2.010,1.120,,0,$1.90,$0.00,
249,,395,38.41,16.830,2.200,1.220,,0,$1.90,$0.00,
250,,441,38.85,16.965,2.440,1.360,,0,$1.90,$0.00,
251,,487,39.33,17.086,2.681,1.500,,0,$1.90,$0.00,
252,,529,39.80,17.205,2.909,1.610,,0,$1.90,$0.00,
253,,652,41.06,17.559,3.539,1.968,,0,$1.90,$0.00,
,,,,,,,,0,$1.90,$0.00,
,W40,149,38.20,11.810,0.830,0.630,,0,$1.90,$0.00,
254,,167,38.59,11.810,1.025,0.650,,0,$1.90,$0.00,
255,,183,38.98,11.810,1.220,0.650,,0,$1.90,$0.00,
256,,211,39.37,11.811,1.413,0.752,,0,$1.90,$0.00,
257,,235,39.68,11.890,1.575,0.831,,0,$1.90,$0.00,
258,,264,40.00,11.929,1.728,0.961,,0,$1.90,$0.00,
259,,278,40.16,11.968,1.811,1.024,,0,$1.90,$0.00,
260,,294,40.39,12.008,1.929,1.059,,0,$1.90,$0.00,
261,,327,40.79,12.126,2.130,1.181,,0,$1.90,$0.00,
262,,331,40.79,12.165,2.126,1.220,,0,$1.90,$0.00,
263,,392,41.57,12.362,2.520,1.417,,0,$1.90,$0.00,
264,W40,199,38.67,15.750,1.065,0.650,,0,$1.90,$0.00,
265,,215,38.98,15.750,1.220,0.650,,0,$1.90,$0.00,
266,,249,39.38,15.750,1.420,0.750,,0,$1.90,$0.00,
267,,277,39.69,15.830,1.575,0.830,,0,$1.90,$0.00,
