#,Item #,Angle Type,Size A,Size B,Size C,Available Length(s),,,Estimated Lbs. Per Ft.,For 20ft Length,For 40ft Length,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Type,Size A,Size B,Size C,Available Lengths,As Fraction,As Decimal,Estimated Pounds Per Foot,For 20ft Length,For 40ft Length,ft.,lb.,$,$,
109,LS6478,Structural Size Standard,6 in,4 in,7/8 in,Up to 60 ft,7/8,0.8750,27.2,544,1088,,0.00,$1.25,$0.00,
110,LS6516,Structural Size Standard,6 in,6 in,5/16 in,Up to 60 ft,5/16,0.3125,12.4,248,496,,0.00,$0.95,$0.00,
111,LS638,Structural Size Standard,6 in,6 in,3/8 in,Up to 60 ft,3/8,0.3750,14.9,298,596,,0.00,$1.00,$0.00,
112,LS66716,Structural Size Standard,6 in,6 in,7/16 in,Up to 60 ft,7/16,0.4375,17.2,344,688,,0.00,$1.10,$0.00,
113,LS612,Structural Size Standard,6 in,6 in,1/2 in,Up to 60 ft,1/2,0.5000,19.6,392,784,,0.00,$1.25,$0.00,
114,LS658,Structural Size Standard,6 in,6 in,5/8 in,Up to 60 ft,5/8,0.6250,24.2,484,968,,0.00,$1.25,$0.00,
115,LS634,Structural Size Standard,6 in,6 in,3/4 in,Up to 60 ft,3/4,0.7500,28.7,574,1148,,0.00,$1.25,$0.00,
116,LS6678,Structural Size Standard,6 in,6 in,7/8 in,Up to 60 ft,7/8,0.8750,33.1,662,1324,,0.00,$1.25,$0.00,
117,LS61,Structural Size Standard,6 in,6 in,1 in,Up to 60 ft,1,1.0000,37.4,748,1496,,0.00,$1.25,$0.00,
118,LS7438,Structural Size Standard,7 in,4 in,3/8 in,Up to 60 ft,3/8,0.3750,13.6,272,544,,0.00,$1.00,$0.00,
119,LS7716,Structural Size Standard,7 in,4 in,7/16 in,Up to 60 ft,7/16,0.4375,15.8,316,632,,0.00,$1.10,$0.00,
120,LS7412,Structural Size Standard,7 in,4 in,1/2 in,Up to 60 ft,1/2,0.5000,17.9,358,716,,0.00,$1.25,$0.00,
121,LS758,Structural Size Standard,7 in,4 in,5/8 in,Up to 60 ft,5/8,0.6250,22.1,442,884,,0.00,$1.25,$0.00,
122,LS7434,Structural Size Standard,7 in,4 in,3/4 in,Up to 60 ft,3/4,0.7500,26.2,524,1048,,0.00,$1.25,$0.00,
123,LS8412,Structural Size Standard,8 in,4 in,1/2 in,Up to 60 ft,7/16,0.4375,17.2,344,688,,0.00,$1.10,$0.00,
124,LS84916,Structural Size Standard,8 in,4 in,9/16 in,Up to 60 ft,1/2,0.5000,19.6,392,784,,0.00,$1.25,$0.00,
125,LS8458,Structural Size Standard,8 in,4 in,5/8 in,Up to 60 ft,5/8,0.6250,24.2,484,968,,0.00,$1.25,$0.00,
126,LS8434,Structural Size Standard,8 in,4 in,3/4 in,Up to 60 ft,3/4,0.7500,28.7,574,1148,,0.00,$1.25,$0.00,
127,LS8478,Structural Size Standard,8 in,4 in,7/8 in,Up to 60 ft,7/8,0.8750,33.1,662,1324,,0.00,$1.25,$0.00,
128,LS841,Structural Size Standard,8 in,4 in,1 in,Up to 60 ft,1,1.0000,37.4,748,1496,,0.00,$1.25,$0.00,
129,LS8612,Structural Size Standard,8 in,6 in,1/2 in,Up to 60 ft,7/16,0.4375,20.2,404,808,,0.00,$1.10,$0.00,
130,LS86916,Structural Size Standard,8 in,6 in,9/16 in,Up to 60 ft,1/2,0.5000,23,460,920,,0.00,$1.25,$0.00,
131,LS8658,Structural Size Standard,8 in,6 in,5/8 in,Up to 60 ft,5/8,0.6250,28.5,570,1140,,0.00,$1.25,$0.00,
132,LS8634,Structural Size Standard,8 in,6 in,3/4 in,Up to 60 ft,3/4,0.7500,33.8,676,1352,,0.00,$1.25,$0.00,
133,LS8678,Structural Size Standard,8 in,6 in,7/8 in,Up to 60 ft,7/8,0.8750,39.1,782,1564,,0.00,$1.25,$0.00,
