#,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,
,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Foot,ft.,lb.,$,$,,
201,TP640,6 in,40 STD,6.625 in,0.280 in,18.970,,0.000,$1.50,$0.00,,1.5
202,TP540,5 in,40 STD,5.563 in,0.258 in,14.620,,0.000,$1.50,$0.00,,1.5
203,TP1040,10 in,40 STD,10.750 in,0.500 in,54.740,,0.000,$2.00,$0.00,,2
204,TP9XX,9 in,XX Hvy,8.625 in,0.342 in,33.900,,0.000,,$0.00,,
205,TP840,8 in,40 STD,8.625 in,0.322 in,28.550,,0.000,$1.50,$0.00,,1.5
206,TP240,2 in,40 STD,2.375 in,0.154 in,3.653,,0.000,,$0.00,,
207,TP14STD,14 in,Std,14.000 in,0.375 in,54.570,,0.000,,$0.00,,
208,TP10XH,10 in,XH,10.750 in,0.500 in,54.740,,0.000,,$0.00,,
209,TP1080,10 in,80,10.750 in,0.593 in,64.330,,0.000,,$0.00,,
210,ST12XH,12 in,XH,12.750 in,0.500 in,65.420,,0.000,,$0.00,,
211,TP21240,2 1/2 in,40 STD,2.875 in,0.203 in,5.793,,0.000,,$0.00,,
212,PP22382,N/A,N/A,8.625 in,N/A,22.382,,0.000,,$0.00,,
213,PP27786,N/A,N/A,8.625 in,N/A,27.786,,0.000,,$0.00,,
214,PP33072,N/A,N/A,8.625 in,N/A,33.072,,0.000,,$0.00,,
215,PP43428,N/A,N/A,8.625 in,N/A,43.428,,0.000,,$0.00,,
216,PP53401,N/A,N/A,8.625 in,N/A,53.401,,0.000,,$0.00,,
217,PP25055,N/A,N/A,9.625 in,N/A,25.055,,0.000,,$0.00,,
218,PP31139,N/A,N/A,9.625 in,N/A,31.139,,0.000,,$0.00,,
219,PP37081,N/A,N/A,9.625 in,N/A,37.081,,0.000,,$0.00,,
220,PP48773,N/A,N/A,9.625 in,N/A,48.773,,0.000,,$0.00,,
221,PP60131,N/A,N/A,9.625 in,N/A,60.131,,0.000,,$0.00,,
222,PP28061,N/A,N/A,10.750 in,N/A,28.061,,0.000,,$0.00,,
223,PP34890,N/A,N/A,10.750 in,N/A,34.890,,0.000,,$0.00,,
224,PP40520,N/A,N/A,10.750 in,N/A,40.520,,0.000,,$0.00,,
225,PP41591,N/A,N/A,10.750 in,N/A,41.591,,0.000,,$0.00,,
226,PP54786,N/A,N/A,10.750 in,N/A,54.786,,0.000,,$0.00,,
227,PP67648,N/A,N/A,10.750 in,N/A,67.648,,0.000,,$0.00,,
228,PP74200,N/A,N/A,10.750 in,N/A,74.200,,0.000,,$0.00,,
229,PP31373,N/A,N/A,12.000 in,N/A,31.373,,0.000,,$0.00,,
230,PP39068,N/A,N/A,12.000 in,N/A,39.068,,0.000,,$0.00,,
231,PP46559,N/A,N/A,12.000 in,N/A,46.559,,0.000,,$0.00,,
232,PP61411,N/A,N/A,12.000 in,N/A,61.411,,0.000,,$0.00,,
233,PP75929,N/A,N/A,12.000 in,N/A,75.929,,0.000,,$0.00,,
234,PP33406,N/A,N/A,12.750 in,N/A,33.406,,0.000,,$0.00,,
235,PP41575,N/A,N/A,12.750 in,N/A,41.575,,0.000,,$0.00,,
236,PP49608,N/A,N/A,12.750 in,N/A,49.608,,0.000,,$0.00,,
237,PP65476,N/A,N/A,12.750 in,N/A,65.476,,0.000,,$0.00,,
238,PP81010,N/A,N/A,12.750 in,N/A,81.010,,0.000,,$0.00,,
239,PP88960,N/A,N/A,12.750 in,N/A,88.960,,0.000,,$0.00,,
240,PP96210,N/A,N/A,12.750 in,N/A,96.210,,0.000,,$0.00,,
